CustomerID,Recency,Frequency,Monetary,Cluster
12347.0,2,166,3314.73,Cluster #2
12348.0,249,6,90.2,Cluster #1
12349.0,19,58,999.15,Cluster #0
12350.0,310,16,294.4,Cluster #1
12352.0,36,66,1130.94,Cluster #0
12353.0,204,2,29.300000000000004,Cluster #1
12354.0,232,40,682.69,Cluster #0
12355.0,214,9,219.0,Cluster #1
12356.0,246,33,1086.56,Cluster #0
12357.0,33,96,3315.41,Cluster #2
12358.0,2,14,878.22,Cluster #2
12359.0,58,173,3161.58,Cluster #2
12360.0,52,117,1843.16,Cluster #2
12361.0,287,9,174.9,Cluster #1
12362.0,3,225,4098.94,Cluster #2
12363.0,110,19,484.5,Cluster #0
12364.0,8,78,1106.28,Cluster #2
12365.0,291,20,307.94,Cluster #1
12367.0,4,9,138.3,Cluster #0
12370.0,51,151,2598.66,Cluster #2
12371.0,60,58,1300.46,Cluster #0
12372.0,72,44,938.34,Cluster #0
12373.0,311,12,299.1,Cluster #1
12374.0,25,29,531.73,Cluster #0
12375.0,11,13,283.3,Cluster #0
12377.0,315,74,1472.52,Cluster #0
12378.0,130,194,3396.64,Cluster #2
12379.0,82,37,736.44,Cluster #0
12380.0,22,91,1738.25,Cluster #2
12381.0,5,74,1253.46,Cluster #2
12383.0,185,76,1211.84,Cluster #0
12384.0,29,17,286.32,Cluster #0
12386.0,367,7,215.7,Cluster #1
12388.0,16,93,2466.7000000000003,Cluster #2
12390.0,80,26,407.74,Cluster #0
12391.0,22,90,406.88,Cluster #0
12393.0,72,58,1193.5,Cluster #0
12394.0,217,19,331.18,Cluster #1
12395.0,19,121,1844.57,Cluster #2
12397.0,36,109,1720.01,Cluster #2
12398.0,46,81,1349.44,Cluster #0
12399.0,119,46,729.15,Cluster #0
12401.0,303,2,32.85,Cluster #1
12402.0,323,10,195.6,Cluster #1
12403.0,50,2,92.9,Cluster #1
12405.0,149,42,1104.8700000000001,Cluster #0
12406.0,22,96,2871.78,Cluster #2
12407.0,50,61,1085.01,Cluster #0
12408.0,33,90,1869.47,Cluster #2
12409.0,79,25,1646.79,Cluster #0
12410.0,309,14,274.23,Cluster #1
12412.0,75,56,1115.04,Cluster #0
12413.0,67,31,545.2,Cluster #0
12414.0,217,12,343.65,Cluster #1
12415.0,25,116,3756.06,Cluster #2
12417.0,3,139,2151.75,Cluster #2
12418.0,113,25,418.16,Cluster #0
12420.0,64,20,380.3,Cluster #0
12421.0,16,39,607.57,Cluster #0
12422.0,96,37,645.3100000000001,Cluster #0
12423.0,1,111,1535.61,Cluster #2
12424.0,163,21,703.72,Cluster #0
12425.0,78,30,538.14,Cluster #0
12426.0,195,25,446.08,Cluster #0
12427.0,22,23,425.62,Cluster #0
12428.0,26,247,4830.43,Cluster #2
12429.0,9,77,2313.04,Cluster #2
12430.0,43,9,168.6,Cluster #1
12431.0,36,194,3866.05,Cluster #2
12432.0,43,71,1909.68,Cluster #0
12433.0,1,299,7947.37,Cluster #2
12434.0,85,39,624.84,Cluster #0
12435.0,268,2,78.0,Cluster #1
12436.0,100,15,429.01000000000005,Cluster #0
12437.0,2,143,2760.54,Cluster #2
12438.0,14,78,1753.1200000000001,Cluster #2
12441.0,367,10,155.55,Cluster #1
12442.0,3,11,144.06,Cluster #0
12444.0,21,127,2382.56,Cluster #2
12445.0,22,3,77.4,Cluster #1
12446.0,58,46,734.36,Cluster #0
12447.0,243,22,379.78999999999996,Cluster #1
12448.0,44,19,283.95,Cluster #0
12449.0,22,157,2733.84,Cluster #2
12450.0,156,7,131.88,Cluster #1
12451.0,11,278,5878.31,Cluster #2
12452.0,17,19,287.67,Cluster #0
12453.0,134,43,707.09,Cluster #0
12454.0,56,1,66.4,Cluster #1
12455.0,73,66,1201.8600000000001,Cluster #0
12456.0,44,99,1663.24,Cluster #0
12457.0,86,48,958.93,Cluster #0
12458.0,71,31,612.38,Cluster #0
12461.0,155,29,419.08,Cluster #0
12462.0,19,44,657.8,Cluster #0
12463.0,53,76,1155.38,Cluster #0
12464.0,150,4,76.5,Cluster #1
12465.0,17,43,621.49,Cluster #0
12468.0,188,33,575.99,Cluster #0
12471.0,2,359,8703.38,Cluster #2
12472.0,32,308,5052.03,Cluster #2
12473.0,54,143,2218.95,Cluster #2
12474.0,17,380,6115.2,Cluster #2
12475.0,54,31,561.9399999999999,Cluster #0
12476.0,16,165,3530.83,Cluster #2
12477.0,23,224,7057.34,Cluster #2
12478.0,4,32,479.59000000000003,Cluster #0
12479.0,11,28,426.35,Cluster #0
12480.0,28,136,2266.94,Cluster #2
12481.0,23,171,3445.7,Cluster #2
12483.0,17,61,1486.54,Cluster #2
12484.0,35,312,3322.58,Cluster #2
12488.0,10,47,952.1600000000001,Cluster #2
12489.0,336,10,191.43,Cluster #1
12490.0,5,222,4227.11,Cluster #2
12491.0,39,23,350.75,Cluster #0
12492.0,63,18,227.21,Cluster #1
12493.0,166,18,332.91,Cluster #1
12494.0,16,65,951.75,Cluster #0
12497.0,82,1,20.4,Cluster #1
12498.0,21,21,349.70000000000005,Cluster #0
12500.0,50,25,497.89,Cluster #0
12501.0,337,138,1866.66,Cluster #0
12502.0,96,91,1511.32,Cluster #0
12504.0,30,2,60.0,Cluster #1
12506.0,233,21,57.6,Cluster #1
12507.0,134,13,388.75,Cluster #1
12508.0,26,68,397.88,Cluster #0
12509.0,284,5,124.5,Cluster #1
12510.0,143,29,620.05,Cluster #0
12512.0,66,30,124.23,Cluster #1
12513.0,113,33,520.04,Cluster #0
12514.0,267,44,779.68,Cluster #0
12515.0,353,11,190.8,Cluster #1
12516.0,78,11,270.48,Cluster #1
12517.0,28,265,2176.85,Cluster #2
12518.0,1,114,1750.09,Cluster #2
12519.0,64,15,242.84,Cluster #1
12520.0,79,136,2061.56,Cluster #0
12521.0,143,34,499.03,Cluster #0
12522.0,39,9,152.72,Cluster #1
12523.0,19,79,1277.91,Cluster #2
12524.0,9,93,1719.21,Cluster #2
12526.0,1,63,1074.46,Cluster #2
12527.0,82,16,296.71000000000004,Cluster #1
12528.0,9,62,1121.63,Cluster #2
12530.0,60,52,1051.42,Cluster #0
12531.0,15,16,95.27,Cluster #1
12532.0,30,14,297.33000000000004,Cluster #0
12534.0,131,55,828.73,Cluster #0
12535.0,92,28,577.85,Cluster #0
